MTrk
0 Meta TrkName "charlene"
0 Tempo 550458
0 TimeSig 4/4 24 8
0 Meta TrkEnd
TrkEnd
MTrk
0 Meta TrkName "BEAT"
0 On ch=6 n=12 v=100
240 Off ch=6 n=12 v=64
480 On ch=6 n=13 v=100
720 Off ch=6 n=13 v=64
960 On ch=6 n=13 v=100
1200 Off ch=6 n=13 v=64
1440 On ch=6 n=13 v=100
1680 Off ch=6 n=13 v=64
1920 On ch=6 n=12 v=100
2160 Off ch=6 n=12 v=64
2400 On ch=6 n=13 v=100
2640 Off ch=6 n=13 v=64
2880 On ch=6 n=13 v=100
3120 Off ch=6 n=13 v=64
3360 On ch=6 n=13 v=100
3600 Off ch=6 n=13 v=64
3840 On ch=6 n=12 v=100
4080 Off ch=6 n=12 v=64
4320 On ch=6 n=13 v=100
4560 Off ch=6 n=13 v=64
4800 On ch=6 n=13 v=100
5040 Off ch=6 n=13 v=64
5280 On ch=6 n=13 v=100
5520 Off ch=6 n=13 v=64
5760 On ch=6 n=12 v=100
6000 Off ch=6 n=12 v=64
6240 On ch=6 n=13 v=100
6480 Off ch=6 n=13 v=64
6720 On ch=6 n=13 v=100
6960 Off ch=6 n=13 v=64
7200 On ch=6 n=13 v=100
7440 Off ch=6 n=13 v=64
7680 On ch=6 n=12 v=100
7920 Off ch=6 n=12 v=64
8160 On ch=6 n=13 v=100
8400 Off ch=6 n=13 v=64
8640 On ch=6 n=13 v=100
8880 Off ch=6 n=13 v=64
9120 On ch=6 n=13 v=100
9360 Off ch=6 n=13 v=64
9600 On ch=6 n=12 v=100
9840 Off ch=6 n=12 v=64
10080 On ch=6 n=13 v=100
10320 Off ch=6 n=13 v=64
10560 On ch=6 n=13 v=100
10800 Off ch=6 n=13 v=64
11040 On ch=6 n=13 v=100
11280 Off ch=6 n=13 v=64
11520 On ch=6 n=12 v=100
11760 Off ch=6 n=12 v=64
12000 On ch=6 n=13 v=100
12240 Off ch=6 n=13 v=64
12480 On ch=6 n=13 v=100
12720 Off ch=6 n=13 v=64
12960 On ch=6 n=13 v=100
13200 Off ch=6 n=13 v=64
13440 On ch=6 n=12 v=100
13680 Off ch=6 n=12 v=64
13920 On ch=6 n=13 v=100
14160 Off ch=6 n=13 v=64
14400 On ch=6 n=13 v=100
14640 Off ch=6 n=13 v=64
14880 On ch=6 n=13 v=100
15120 Off ch=6 n=13 v=64
15360 On ch=6 n=12 v=100
15600 Off ch=6 n=12 v=64
15840 On ch=6 n=13 v=100
16080 Off ch=6 n=13 v=64
16320 On ch=6 n=13 v=100
16560 Off ch=6 n=13 v=64
16800 On ch=6 n=13 v=100
17040 Off ch=6 n=13 v=64
17280 On ch=6 n=12 v=100
17520 Off ch=6 n=12 v=64
17760 On ch=6 n=13 v=100
18000 Off ch=6 n=13 v=64
18240 On ch=6 n=13 v=100
18480 Off ch=6 n=13 v=64
18720 On ch=6 n=13 v=100
18960 Off ch=6 n=13 v=64
19200 On ch=6 n=12 v=100
19440 Off ch=6 n=12 v=64
19680 On ch=6 n=13 v=100
19920 Off ch=6 n=13 v=64
20160 On ch=6 n=13 v=100
20400 Off ch=6 n=13 v=64
20640 On ch=6 n=13 v=100
20880 Off ch=6 n=13 v=64
21120 On ch=6 n=12 v=100
21360 Off ch=6 n=12 v=64
21600 On ch=6 n=13 v=100
21840 Off ch=6 n=13 v=64
22080 On ch=6 n=13 v=100
22320 Off ch=6 n=13 v=64
22560 On ch=6 n=13 v=100
22800 Off ch=6 n=13 v=64
23040 On ch=6 n=12 v=100
23280 Off ch=6 n=12 v=64
23520 On ch=6 n=13 v=100
23760 Off ch=6 n=13 v=64
24000 On ch=6 n=13 v=100
24240 Off ch=6 n=13 v=64
24480 On ch=6 n=13 v=100
24720 Off ch=6 n=13 v=64
24960 On ch=6 n=12 v=100
25200 Off ch=6 n=12 v=64
25440 On ch=6 n=13 v=100
25680 Off ch=6 n=13 v=64
25920 On ch=6 n=13 v=100
26160 Off ch=6 n=13 v=64
26400 On ch=6 n=13 v=100
26640 Off ch=6 n=13 v=64
26880 On ch=6 n=12 v=100
27120 Off ch=6 n=12 v=64
27360 On ch=6 n=13 v=100
27600 Off ch=6 n=13 v=64
27840 On ch=6 n=13 v=100
28080 Off ch=6 n=13 v=64
28320 On ch=6 n=13 v=100
28560 Off ch=6 n=13 v=64
28800 On ch=6 n=12 v=100
29040 Off ch=6 n=12 v=64
29280 On ch=6 n=13 v=100
29520 Off ch=6 n=13 v=64
29760 On ch=6 n=13 v=100
30000 Off ch=6 n=13 v=64
30240 On ch=6 n=13 v=100
30480 Off ch=6 n=13 v=64
30720 On ch=6 n=12 v=100
30960 Off ch=6 n=12 v=64
31200 On ch=6 n=13 v=100
31440 Off ch=6 n=13 v=64
31680 On ch=6 n=13 v=100
31920 Off ch=6 n=13 v=64
32160 On ch=6 n=13 v=100
32400 Off ch=6 n=13 v=64
32640 On ch=6 n=12 v=100
32880 Off ch=6 n=12 v=64
33120 On ch=6 n=13 v=100
33360 Off ch=6 n=13 v=64
33600 On ch=6 n=13 v=100
33840 Off ch=6 n=13 v=64
34080 On ch=6 n=13 v=100
34320 Off ch=6 n=13 v=64
34560 On ch=6 n=12 v=100
34800 Off ch=6 n=12 v=64
35040 On ch=6 n=13 v=100
35280 Off ch=6 n=13 v=64
35520 On ch=6 n=13 v=100
35760 Off ch=6 n=13 v=64
36000 On ch=6 n=13 v=100
36240 Off ch=6 n=13 v=64
36480 On ch=6 n=12 v=100
36720 Off ch=6 n=12 v=64
36960 On ch=6 n=13 v=100
37200 Off ch=6 n=13 v=64
37440 On ch=6 n=13 v=100
37680 Off ch=6 n=13 v=64
37920 On ch=6 n=13 v=100
38160 Off ch=6 n=13 v=64
38400 On ch=6 n=12 v=100
38640 Off ch=6 n=12 v=64
38880 On ch=6 n=13 v=100
39120 Off ch=6 n=13 v=64
39360 On ch=6 n=13 v=100
39600 Off ch=6 n=13 v=64
39840 On ch=6 n=13 v=100
40080 Off ch=6 n=13 v=64
40320 On ch=6 n=12 v=100
40560 Off ch=6 n=12 v=64
40800 On ch=6 n=13 v=100
41040 Off ch=6 n=13 v=64
41280 On ch=6 n=13 v=100
41520 Off ch=6 n=13 v=64
41760 On ch=6 n=13 v=100
42000 Off ch=6 n=13 v=64
42240 On ch=6 n=12 v=100
42480 Off ch=6 n=12 v=64
42720 On ch=6 n=13 v=100
42960 Off ch=6 n=13 v=64
43200 On ch=6 n=13 v=100
43440 Off ch=6 n=13 v=64
43680 On ch=6 n=13 v=100
43920 Off ch=6 n=13 v=64
44160 On ch=6 n=12 v=100
44400 Off ch=6 n=12 v=64
44640 On ch=6 n=13 v=100
44880 Off ch=6 n=13 v=64
45120 On ch=6 n=13 v=100
45360 Off ch=6 n=13 v=64
45600 On ch=6 n=13 v=100
45840 Off ch=6 n=13 v=64
46080 On ch=6 n=12 v=100
46320 Off ch=6 n=12 v=64
46560 On ch=6 n=13 v=100
46800 Off ch=6 n=13 v=64
47040 On ch=6 n=13 v=100
47280 Off ch=6 n=13 v=64
47520 On ch=6 n=13 v=100
47760 Off ch=6 n=13 v=64
48000 On ch=6 n=12 v=100
48240 Off ch=6 n=12 v=64
48480 On ch=6 n=13 v=100
48720 Off ch=6 n=13 v=64
48960 On ch=6 n=13 v=100
49200 Off ch=6 n=13 v=64
49440 On ch=6 n=13 v=100
49680 Off ch=6 n=13 v=64
49920 On ch=6 n=12 v=100
50160 Off ch=6 n=12 v=64
50400 On ch=6 n=13 v=100
50640 Off ch=6 n=13 v=64
50880 On ch=6 n=13 v=100
51120 Off ch=6 n=13 v=64
51360 On ch=6 n=13 v=100
51600 Off ch=6 n=13 v=64
51840 On ch=6 n=12 v=100
52080 Off ch=6 n=12 v=64
52320 On ch=6 n=13 v=100
52560 Off ch=6 n=13 v=64
52800 On ch=6 n=13 v=100
53040 Off ch=6 n=13 v=64
53280 On ch=6 n=13 v=100
53520 Off ch=6 n=13 v=64
53760 On ch=6 n=12 v=100
54000 Off ch=6 n=12 v=64
54240 On ch=6 n=13 v=100
54480 Off ch=6 n=13 v=64
54720 On ch=6 n=13 v=100
54960 Off ch=6 n=13 v=64
55200 On ch=6 n=13 v=100
55440 Off ch=6 n=13 v=64
55680 On ch=6 n=12 v=100
55920 Off ch=6 n=12 v=64
56160 On ch=6 n=13 v=100
56400 Off ch=6 n=13 v=64
56640 On ch=6 n=13 v=100
56880 Off ch=6 n=13 v=64
57120 On ch=6 n=13 v=100
57360 Off ch=6 n=13 v=64
57600 On ch=6 n=12 v=100
57840 Off ch=6 n=12 v=64
58080 On ch=6 n=13 v=100
58320 Off ch=6 n=13 v=64
58560 On ch=6 n=13 v=100
58800 Off ch=6 n=13 v=64
59040 On ch=6 n=13 v=100
59280 Off ch=6 n=13 v=64
59520 On ch=6 n=12 v=100
59760 Off ch=6 n=12 v=64
60000 On ch=6 n=13 v=100
60240 Off ch=6 n=13 v=64
60480 On ch=6 n=13 v=100
60720 Off ch=6 n=13 v=64
