short_name,guitar_easy,guitar_medium,guitar_hard,guitar_expert,bass_easy,bass_medium,bass_hard,bass_expert,drums_easy,drums_medium,drums_hard,drums_expert,guitar_base_easy,guitar_base_medium,guitar_base_hard,guitar_base_expert,bass_base_easy,bass_base_medium,bass_base_hard,bass_base_expert,drums_base_easy,drums_base_medium,drums_base_hard,drums_base_expert,drums_allfills_easy,drums_allfills_medium,drums_allfills_hard,drums_allfills_expert,percussion_hits,nonpercussion_phrases,length
100000years,246,471,752,1095,260,472,801,1005,878,1184,1991,2977,7214,16430,24946,34072,7493,13032,21736,26859,22000,29650,49850,74550,19300,25850,43550,64875,104,29,341.088995054
21guns,350,410,534,675,251,380,456,519,531,904,1041,1186,9428,17517,23872,30448,6589,9814,12203,15874,13275,22600,26025,29650,10800,18575,21175,23925,0,52,324.5719449
21stcentdigiboy,190,341,572,795,193,343,555,680,499,918,1156,1494,5099,15293,25335,31112,4825,8575,13902,17027,12475,22950,28900,37350,10050,18750,23200,28650,0,35,172.027152
29fingers,277,442,535,618,301,403,679,700,452,581,744,811,8053,21315,26635,30941,7843,10393,17293,18168,11300,14525,18600,20275,9075,11450,14425,15750,27,23,172.472084
2minutestomidnight,452,645,1043,1566,527,967,1485,1897,975,1630,2204,3132,14689,31388,43281,58896,13322,24322,37350,48835,24375,40750,55100,78300,19150,32475,42600,60300,56,41,367.281403
3dimesdown,185,284,415,577,171,310,465,528,794,1086,1224,1369,6091,10654,15660,20856,5107,8646,12920,14495,19850,27150,30600,34225,15125,20625,23175,25925,74,15,199.542734
3sand7s,422,488,733,879,434,448,632,746,540,817,1278,1428,11596,17999,25762,29496,11036,11386,16115,18962,13500,20425,31950,35700,11725,17850,27575,30775,79,30,216.652524
abc,265,278,386,434,248,313,414,495,467,726,885,964,6625,6950,9650,11404,6200,7825,10350,12717,11675,18150,22125,24100,10150,15650,19075,20825,0,65,186.524004167
aboutagirl,176,337,481,659,168,306,414,511,599,938,1094,1254,4598,16327,23835,33406,4380,7830,12159,14521,14975,23450,27350,31350,11825,18575,21075,23175,28,28,169.464435
accidentallyinlove,252,346,529,628,222,367,503,580,496,792,1225,1402,6820,12896,18050,22383,5826,9691,13139,15592,12400,19800,30625,35050,9900,16075,24550,28175,0,48,193.04491
aceofspades,210,295,439,655,279,362,628,879,731,968,1307,1562,5976,9829,16632,22943,7158,9209,20744,29129,18275,24200,32675,39050,14350,19500,25900,29550,34,19,171.394775
aceshigh_live,240,428,741,1045,256,509,815,1337,682,947,1561,2094,7112,12586,26701,34431,6472,12797,20480,33572,17075,23725,39075,52450,13425,19000,29875,39525,0,38,302.355842
acleanshot,172,210,444,635,206,306,546,546,556,819,1223,1590,5053,11143,21045,28108,5390,7905,13965,14070,13900,20475,30575,39750,10975,15900,23700,30275,20,57,232.958276
action,247,274,423,536,451,451,864,866,457,617,985,1221,9512,12522,17913,22052,11827,11827,22152,22202,11425,15425,24625,30525,9150,12750,19850,24550,0,38,196.343118
adamssong,273,516,849,1010,229,439,785,911,489,769,1320,1648,7179,20045,35146,41552,6121,15623,27423,31323,12225,19225,33000,41200,9550,15325,25675,32125,0,40,253.14840125
adaylikethis,100,198,296,423,103,202,299,397,242,343,588,662,2566,10019,14925,19200,2617,5092,7565,10015,6050,8575,14700,16550,4800,6825,11700,13300,0,24,92.8750289375
aestheticsofhate,487,582,990,1713,356,413,701,1333,867,1299,1966,2551,14578,19353,31688,51278,10991,12416,20311,36591,21675,32475,49150,63775,16925,26100,38475,49675,121,34,358.565550717
afavorhouseatlantic,252,430,707,935,263,481,877,964,594,892,1084,1326,7581,15809,28191,34888,6863,12337,22459,24634,14850,22300,27100,33150,11850,17550,20950,25300,0,51,218.19798075
afterlife,357,655,1144,1556,363,588,1118,1450,1055,1357,1781,2173,9769,22771,43297,54755,9594,15261,28514,36976,26375,33925,44525,54325,20650,26450,34175,40625,76,45,350.6010975
ajaggedgorgeouswinter,285,323,542,774,328,403,885,894,588,636,1015,1286,7728,9364,16090,24009,8515,10623,22733,23096,14700,15900,25375,32150,11425,12150,19150,24450,0,43,235.927474
alabamagetaway,318,411,678,748,313,535,1004,1022,668,897,1506,1838,9664,13096,20706,22770,8119,13678,25652,26102,16700,22425,37650,45950,13350,17775,29950,35800,62,39,220.9976715
alexchilton,272,418,706,746,255,414,705,745,617,914,1350,1591,7370,19080,30518,32978,6651,11007,18957,20842,15425,22850,33750,39775,11625,17325,25200,29150,23,26,200.919434
aliensexist,275,487,530,912,305,550,592,1095,596,1017,1359,1888,7381,16684,20554,34329,8025,14567,15703,28478,14900,25425,33975,47200,11800,20375,27075,37425,24,34,196.73632505
alive,273,690,1061,1241,203,610,759,837,757,1186,1591,2085,7415,22139,38201,43819,6548,16847,21096,23401,18950,29700,39850,52200,15775,25100,32900,41750,65,34,346.543515
alivelive,282,510,911,1302,196,375,679,905,613,966,1508,2017,7170,16452,31491,45807,5452,9978,18141,24971,15700,24725,38575,51675,12625,19775,29475,39450,0,46,314.2643265
allgoingouttogether,210,341,534,617,201,289,396,423,489,778,1225,1345,5334,9279,18735,23502,5469,7669,10374,13029,12225,19450,30625,33625,9400,14875,23325,25300,44,32,180.87394
alliwant,151,299,448,520,159,315,374,446,465,657,851,1319,3775,7475,23783,26283,3975,7875,10853,12653,11625,16425,21275,32975,9225,12925,16775,25250,0,36,115.731293
allmixedup,315,456,789,848,302,412,578,593,831,1108,1331,1480,9192,14286,24020,26270,8648,11314,16600,17033,20775,27700,33275,37000,16425,22050,25825,27850,68,40,281.80109
allmylife,389,714,1031,1154,348,597,779,894,628,932,1405,1648,9851,26788,39878,49293,8700,14925,20228,23310,15700,23300,35125,41200,13050,19375,28950,33725,0,69,265.5909195
alloveragain,221,424,730,768,217,382,573,627,501,748,1181,1397,6493,11387,28037,30822,5993,11333,16108,17320,12525,18700,29525,34925,10200,14725,23400,27225,61,40,203.137674792
allrightnow,242,376,417,523,177,334,498,518,838,1261,1483,1720,8062,11550,19381,24612,4836,8806,13375,13874,21000,31625,37200,43175,16250,24325,27775,31725,112,54,334.0751455
allthesmallthings,331,337,680,680,338,338,636,670,545,745,1092,1287,9010,16106,30906,31306,9140,9140,23934,25009,13625,18625,27300,32175,10425,14525,20675,23800,60,31,169.237406
allthethingsthatgo,219,425,783,877,228,440,743,920,547,785,1326,1485,5475,10625,38150,42539,5700,11000,18575,23027,13675,19625,33150,37125,10875,15900,26675,29975,29,27,189.755256
almosteasy,278,521,944,1135,366,594,1049,1217,916,1100,1448,1880,7550,20322,32478,38920,9162,14862,26249,30449,22900,27500,36200,47000,18025,21725,26825,32875,21,41,236.549154
aloneinmyhead,174,296,450,546,181,361,624,780,633,977,1059,1106,5785,10510,15771,19178,4717,9217,15855,19741,15825,24425,26475,27650,12225,18875,20025,20950,24,24,242.4
alookinginview,404,503,786,1065,449,647,1072,1228,950,1445,1783,2100,13379,26011,41279,55184,12370,17861,29788,33943,23750,36125,44575,52500,18050,27850,33150,38350,0,53,430.630926
alotlikeme,220,332,588,943,254,445,702,1064,686,1026,1675,2014,5500,16350,29400,56825,6350,11125,17550,26600,17150,25650,41875,50350,13400,19725,31625,38250,0,53,256.96606
amazingjourney,197,287,446,482,191,303,396,411,464,738,993,1354,5672,9235,24818,27541,5597,8955,12723,13383,11600,18450,24825,33850,9125,14600,19400,26150,25,22,209.469271
america,187,282,381,484,150,250,395,402,382,654,918,1255,6021,11133,15540,18520,4421,7449,11135,11379,9600,16425,23050,31525,8300,14200,19650,26650,0,26,220.028199
americangirl,296,430,600,1036,198,375,468,744,674,1060,1486,1782,7778,16582,23438,39486,5394,9945,12927,19803,16875,26550,37200,44650,13250,20825,28525,33700,95,29,234.322184
americanwoman,279,444,648,698,342,343,581,788,575,825,1169,1617,7730,12080,25834,30937,8658,8695,14657,21266,14375,20625,29225,40425,12225,17550,24750,33575,71,55,237.82625825
amongstthewaves,226,288,424,543,192,214,320,348,643,1051,1271,1478,7858,15853,21922,26195,8127,8731,11900,12600,16075,26275,31775,36950,12775,21250,25000,29075,0,46,239.40609875
andjusticeforall,1204,1261,1931,2149,1261,1302,2011,2210,1860,2546,3440,3829,35243,46951,68303,80440,34060,35410,53210,58213,46500,63650,86000,95725,39400,54325,73450,80175,280,41,588.7672535
andres,183,334,548,658,176,348,429,502,640,949,1095,1260,4611,13661,21993,25647,4400,8700,11859,13720,16050,23775,27450,31575,12600,18875,21300,24200,0,23,201.126176508
andshewas,209,378,641,826,211,260,436,458,867,1291,1408,1435,5225,9975,16836,21461,5275,6773,11620,12170,21675,32275,35200,35875,16800,25275,27175,27500,0,53,220.749624758
anotheronebitesthedust,141,236,342,457,149,238,325,378,682,1110,1135,1318,3537,7180,11093,14491,3725,5950,8152,9495,17050,27750,28375,32950,13400,21750,22075,25650,0,55,220.668202002
anymanofmine,233,324,460,643,261,304,317,351,622,847,1037,1174,6272,12808,22167,28498,6783,7858,9353,10989,15550,21175,25925,29350,12700,17150,20775,23375,0,70,257.164502
anywayyouwantit,190,339,590,702,216,397,607,644,481,660,1140,1369,5302,11553,18624,23150,5400,9925,16111,17036,12025,16500,28500,34225,10175,13775,23175,27400,46,44,193.067799958
apacherosepeacock,403,571,718,935,326,463,673,882,751,1186,1321,1473,10480,14834,32060,45532,8835,12260,17879,23008,18775,29650,33025,36825,15150,23650,25900,28625,0,72,286.715836767
apunk,173,284,343,581,134,207,379,712,298,531,957,1304,4613,7946,16242,27151,3458,5283,9709,18142,7450,13275,23925,32600,5975,10475,18900,25625,69,24,140.200506
aqualung,417,712,1025,1286,250,495,666,841,808,1163,1669,2072,11319,29782,42374,53220,6855,13440,18135,23014,20200,29075,41725,51800,16350,23925,33875,42600,71,62,396.4072745
areyoudeadyet,352,633,980,1316,300,473,756,907,666,1109,1487,1999,8851,16180,25211,33890,8430,13250,21294,25108,16650,27725,37175,49975,13225,22250,29325,38675,0,35,238.658879
areyougonnabemygirl,253,408,480,573,292,488,596,669,578,800,1058,1143,7363,19073,22597,28249,7654,12554,15329,17154,14450,20000,26450,28575,12775,17775,22400,23825,88,37,215.4428435
areyougonnagomyway,366,462,606,820,177,353,430,547,503,819,1154,1269,10021,14816,18549,26441,4728,9128,11053,14257,12575,20475,28850,31725,10050,16575,22925,24775,136,25,213.1049085
ashestofire,145,185,275,397,163,278,384,511,375,593,855,1167,5105,6105,9078,12027,4135,7010,10942,14246,9375,14825,21375,29175,7400,11725,15650,20325,0,53,169.0805
athingaboutyou,323,542,711,992,289,445,563,759,878,1191,1685,1896,9593,24196,29859,42145,8830,13971,16976,22853,21950,29775,42125,47400,17375,24075,33150,36475,77,46,299.356635
attack,243,483,963,963,212,412,809,810,490,772,989,1137,6075,18275,36475,37675,5314,10442,20387,20412,12250,19300,24725,28425,9975,16100,20350,23250,0,47,188.228493
awomaninlovelive,238,364,533,751,294,448,602,830,961,1553,1838,2096,7934,15559,21510,29977,8286,12931,18265,23610,24025,38825,45950,52400,19175,31100,35850,39600,45,53,331.479679492
babaoriley,156,216,349,445,108,171,275,275,464,797,1039,1298,5011,10355,15368,19107,4571,6235,9049,9567,11625,19950,26000,32500,9175,15550,20125,25100,75,19,307.873535
backfromthedead,221,385,602,883,194,310,424,487,559,824,1273,1597,5927,13816,20161,28606,5462,8788,11686,13459,13975,20600,31825,39925,11300,16750,25450,30800,0,37,240.168995
backinblack_live,214,387,568,627,162,282,417,611,550,768,961,1042,5563,9942,21168,24643,4248,7248,10713,16293,13775,19225,24075,26125,11450,15925,19675,20950,0,37,231.419788
badluck,290,462,610,843,260,515,821,1024,852,1390,1606,1975,8053,21072,28162,36700,6680,13112,20843,25918,21300,34750,40150,49375,16325,26950,30600,37375,165,42,264.9866395
badomen,314,538,957,1463,286,506,869,1192,551,790,1334,1996,8931,15306,30086,42774,7976,13580,22758,31999,13775,19750,33350,49900,11150,16200,26600,39425,0,24,244.95217875
badreputation,222,249,534,625,199,286,504,633,647,849,1081,1711,5550,12050,25700,30133,4975,7150,12600,15888,16175,21225,27025,42775,12375,16475,20850,33300,0,38,163.464812
badtothebone,243,486,588,672,449,562,887,995,717,1320,1978,2265,6689,12842,27768,35663,11225,14050,22246,24943,18175,33350,50250,57750,14325,25950,38950,44700,160,53,292.812721333
ballroomblitz,308,479,718,873,344,670,859,856,896,1072,1586,1807,9113,13616,28812,33963,9020,17176,21910,22870,22400,26800,39650,45175,18000,21075,31275,35200,120,55,245.193357763
bandages,306,317,640,707,253,317,456,457,598,893,1418,1644,7971,12014,22370,26831,6451,8063,11550,13078,14950,22325,35450,41100,11750,17725,27575,32000,0,53,212.783186
bandontherunlive,264,406,648,758,263,399,552,668,744,1269,1561,1740,9056,19437,29686,34899,8409,12596,17040,19928,18600,31725,39025,43500,15300,25725,31200,34200,0,53,314.994334506
bangagong,403,438,637,1048,494,732,923,924,761,1391,1593,1841,10530,20869,31576,49476,12452,18402,23177,23202,19025,34775,39825,46025,16825,31000,35000,40075,0,39,273.908597
batcountry,322,553,907,1381,286,519,866,1301,901,1507,2219,2796,9382,19738,31400,44708,8620,14445,23561,34433,22525,37675,55475,69900,17575,29575,42275,52425,0,56,315.9101185
bathwater,219,251,350,450,247,278,389,461,528,757,963,1172,6516,10485,16122,20291,6418,7196,10268,12392,13200,18925,24075,29300,10025,14550,18300,21800,0,53,242.653835
battery,498,812,1209,1527,429,731,1091,1185,898,1363,1803,2730,15058,23817,40048,53820,11604,19158,28461,30811,22450,34075,45075,68250,18025,27400,35650,53900,46,35,311.6946875
beautifulthieves,240,383,652,956,153,280,483,898,487,758,983,1275,6108,13969,23753,34077,4211,7395,12575,22993,12175,18950,24575,31875,10025,15650,20150,25850,0,43,223.19544525
beerformyhorses,185,295,458,592,194,312,463,504,646,1003,1192,1307,5930,12007,18592,23251,5390,8334,12850,15003,16150,25075,29800,32675,13575,21025,23625,25150,0,35,212.693899
beethovensc,238,369,474,560,224,342,432,486,538,685,955,1277,6514,11322,17255,22154,6589,9539,12393,15005,13450,17125,23875,31925,10075,13150,18150,24025,0,45,194.453146
beetlebum,402,489,672,794,341,361,551,666,574,983,1121,1177,11580,16898,29133,35659,8803,9312,14504,17339,14350,24575,28025,29425,11100,18950,21775,22650,49,46,307.1463865
behindblueeyes,222,347,627,724,142,234,304,321,173,316,441,612,6105,15466,25222,27088,4927,7638,10216,11082,4325,7900,11025,15300,3400,6200,8675,12075,18,34,223.334028
bestdayever,145,211,273,322,165,245,287,387,223,350,516,677,4756,9601,11530,13287,5116,7206,8705,11874,5575,8750,12900,16925,4900,7550,10675,13575,0,24,171.126478
bestofme,175,284,469,561,145,254,436,509,453,584,888,973,4450,10227,16872,21136,3676,6401,10996,12855,11325,14600,22200,24325,8850,11575,17550,19250,0,49,184.44205486
bestofyou,269,489,903,1123,210,362,674,787,641,854,1370,1739,6812,21657,40156,52210,5571,9371,17480,20293,16025,21350,34250,43475,12550,16825,26225,33100,0,63,257.453011044
better,347,592,829,1073,221,389,538,774,590,1104,1257,1424,8914,18512,26282,36063,5525,9725,13630,19651,14750,27600,31425,35600,12075,22350,25225,28500,0,63,301.198152
beverlyhills,140,260,358,457,131,245,245,249,493,731,888,974,3662,11534,14331,16820,3419,6269,6404,6498,12325,18275,22200,24350,9600,14425,17375,18875,20,47,205.262442
bigbottom,183,276,369,455,186,286,384,464,489,626,914,1177,5133,7576,10161,12281,4986,7546,10362,14094,12250,15700,22900,29500,10325,12800,18150,22275,0,31,217.34951475
billiondollarlive,164,293,616,864,139,273,453,702,499,738,1114,1542,4292,9768,19357,26031,3715,7065,12110,18339,12550,18550,28000,38800,10450,15200,22000,28325,0,33,217.205232
black,303,510,718,1076,284,558,717,726,599,1010,1361,1536,8714,16878,24486,35558,7635,14947,19960,20504,14975,25250,34025,38400,11725,20075,26725,29650,0,68,361.97628375
blackened,610,971,1519,1899,563,828,1354,1541,1376,1937,2552,3111,17558,26439,44001,55033,15350,22449,35715,40390,34400,48425,63800,77775,28225,39250,51475,62375,65,45,402.882752
blackfriday,219,370,516,810,233,436,787,941,530,871,1197,1820,6696,11921,16365,23504,5825,10912,20017,23915,13250,21775,29925,45500,10225,16850,22750,34575,44,25,220.734541
blackholesun,264,474,628,792,204,263,431,446,516,785,1106,1287,7355,15387,18230,22796,6280,8383,12460,13082,12925,19675,27700,32225,9450,14525,20075,22800,0,49,331.38746325
blackmagic,321,574,1078,1937,281,463,673,926,805,1094,1610,2485,8473,16982,32161,55207,7866,12512,18382,25796,20175,27450,40350,62275,16325,22425,32025,48625,0,18,240.7908465
blacksunshine,208,391,566,777,306,595,877,1254,663,1055,1389,1950,8050,12625,22104,30026,7979,15204,22293,31718,16575,26375,34725,48750,13475,21750,28425,39400,59,56,253.930874
blew,168,268,443,608,184,297,458,562,483,792,1067,1270,4313,9791,17916,23938,4600,7425,12821,15298,12100,19850,26725,31800,9700,15800,21050,24425,0,24,176.318672925
blindedbyfear,306,534,705,841,294,568,853,944,655,866,1372,1954,8602,14454,20759,29366,7966,14912,22058,25034,16375,21650,34300,48850,12600,16700,26400,37975,0,23,163.584996
blitzkriegbop,263,307,493,571,176,323,619,619,543,766,853,1152,6575,13850,24650,28340,4400,8075,15475,15475,13575,19150,21325,28800,10275,14550,16250,21925,0,28,133.992748
blooddoll,258,493,576,589,218,476,500,500,482,615,805,827,6779,12724,18244,21668,5882,12389,13298,13298,12050,15375,20125,20675,9775,12375,15925,16250,0,36,163.568608
bloodstone,304,365,565,793,374,750,758,1046,693,1034,1234,1353,8902,14076,21560,28047,9431,18831,19034,26234,17325,25850,30850,33825,14275,21025,24475,26400,29,32,234.367144
bloodsugarsexmagik,339,579,827,973,291,483,656,785,579,918,1624,1819,9098,15297,24146,32693,8215,13070,22162,26791,14475,22950,40600,45475,12800,20175,35225,38975,0,50,277.626067
bluechristmas,151,262,427,548,114,191,322,526,518,701,892,1038,4392,9543,18146,23019,2874,5181,8438,13983,12950,17525,22300,25950,10575,14150,17700,20475,0,22,151.224876
bluecollarman,195,313,532,688,210,331,432,476,560,1025,1393,1895,6396,13570,21448,25946,6438,9927,13106,14203,14025,25675,34900,47525,11775,21300,28725,38450,0,41,249.435214
bluejeans,162,269,476,739,126,316,487,603,481,701,824,989,4677,10381,16879,25127,3378,8338,12701,15544,12025,17525,20600,24725,10300,15250,17550,20600,0,55,194.132332
bluemorningblueday,171,211,266,376,196,282,327,389,434,669,910,1140,5460,8484,10500,13519,5476,8256,9855,11425,10850,16725,22750,28500,8650,13475,17425,20725,0,35,191.3349565
bluesky,310,560,996,1222,254,543,725,980,778,1411,1855,2561,8524,14803,29643,36148,6809,14190,19323,25897,19450,35275,46375,64025,15500,28150,36475,50775,220,25,318.020925
bodhisattva,298,629,978,1504,433,616,795,921,1337,1791,2138,2494,8230,19432,29591,44231,12478,18283,27411,32103,33450,44825,53500,62425,25950,34825,41075,47700,332,23,312.909562563
bodyioccupy,310,449,768,1071,446,589,902,1058,791,1084,1491,1824,8932,19993,33589,45920,11549,15124,23012,28019,19775,27100,37275,45600,15775,21200,27950,32750,0,44,282.37614
bounce,169,256,448,548,125,251,505,563,514,765,1178,1466,4396,10155,19315,23002,3146,6332,12668,14184,12850,19125,29450,36650,10750,16000,24300,30175,0,50,216.454935
boysarebackintown,272,412,535,889,356,604,928,1246,702,1077,1529,2178,9161,18952,23220,37611,9545,15751,23923,33060,17550,26925,38225,54450,14450,22900,30925,43075,147,37,271.2037275
brainpower,251,341,501,548,352,408,550,550,460,632,824,870,7460,9692,13754,14929,8800,10200,13750,13750,11500,15800,20600,21750,9650,13150,16325,16975,0,22,127.34191425
brassinpocket,231,363,450,602,287,296,570,582,541,787,866,1008,7800,10753,17029,21811,7404,7551,14425,14725,13525,19675,21650,25200,11775,17175,18475,21525,0,31,187.863632267
breakdownlive,139,191,274,335,221,296,397,464,505,801,1047,1287,5208,9219,11989,13950,5911,9052,12077,13744,12625,20025,26175,32175,9850,15800,20275,24575,32,34,323.2674685
breakingthegirl,341,691,940,1078,285,589,924,949,737,982,1564,1801,8595,30240,45494,54209,7197,14797,23334,23957,18425,24550,39100,45025,14025,18650,30050,34450,96,30,295.497355333
breakmyheart,212,391,450,565,202,358,560,638,516,703,902,1103,5896,10481,19480,25617,5618,9518,14793,16878,12900,17575,22550,27575,10150,13975,16875,19750,0,53,190.636992
breakout,243,350,592,781,219,403,578,717,581,798,1309,1628,6609,13824,22905,31312,5715,10315,14702,19590,14525,19950,32725,40700,11625,16050,25950,31500,0,55,206.227329
breed,238,434,718,941,223,433,652,764,466,751,1076,1362,6169,21101,36662,48984,5752,10993,18142,20732,11650,18775,26900,34050,9100,14450,20800,25925,0,42,182.484338
bringmetolife,195,309,540,668,167,304,509,585,479,855,1132,1318,5085,14257,24400,32583,4415,8032,13419,15756,11975,21375,28300,32950,10025,17975,23325,27175,0,40,234.770866
brother,217,348,562,900,166,236,451,601,515,884,1200,1478,5934,10921,17419,31288,4904,7032,12724,16848,12875,22100,30000,36950,10100,17050,22775,27800,0,41,250.8323695
buddyholly,303,349,604,637,312,352,630,642,448,920,1029,1097,7779,13579,25215,26609,7800,8800,15750,16050,11200,23000,25725,27425,9550,19525,21825,23050,0,35,162.408447775
buildabridge,250,396,619,958,198,310,497,670,351,659,853,1122,6700,15664,25212,39795,5613,8413,13486,17923,8775,16475,21325,28050,7925,15225,19325,25000,0,36,245.537928
bulletsandguns,165,261,480,613,173,273,553,676,488,673,1075,1266,4288,7980,20365,23971,4325,6825,13844,16920,12200,16825,26875,31650,9650,13250,20675,24075,0,38,150.389734
bullsonparade,192,376,598,771,185,337,482,617,507,801,931,1176,5064,9712,18550,24659,5021,8893,13166,16770,12675,20025,23275,29400,10575,16175,18650,22950,0,44,234.338386
burn,191,292,378,651,229,323,354,504,927,1347,2032,2631,4961,7558,10164,18127,5725,8075,8850,13457,23175,33675,50800,65775,17500,25450,38450,49700,0,47,304.797406
